"","Date","Airtemp","AirTmp_14d","WtrTemp_14d","Mo","Yr"
"1",1982-01-01,7.9,NA,NA,1,1982
"2",1982-01-02,4.4,NA,NA,1,1982
"3",1982-01-03,3.2,NA,NA,1,1982
"4",1982-01-04,11.6,NA,NA,1,1982
"5",1982-01-05,5,NA,NA,1,1982
"6",1982-01-06,8.6,NA,NA,1,1982
"7",1982-01-07,14.1,NA,NA,1,1982
"8",1982-01-08,3.5,NA,NA,1,1982
"9",1982-01-09,1.2,NA,NA,1,1982
"10",1982-01-10,-6.9,NA,NA,1,1982
"11",1982-01-11,-8.60671032338715,NA,NA,1,1982
"12",1982-01-12,-5.1,NA,NA,1,1982
"13",1982-01-13,-2.3,NA,NA,1,1982
"14",1982-01-14,-1.4,2.51380640547235,5.08705389645866,1,1982
"15",1982-01-15,-3.7,1.68523497690092,4.24723046788723,1,1982
"16",1982-01-16,1,1.44237783404377,4.00107532503008,1,1982
"17",1982-01-17,-4,0.92809211975806,3.47980561074437,1,1982
"18",1982-01-18,-2.8548544709563,-0.104397485310247,2.43329479683924,1,1982
"19",1982-01-19,1.3,-0.368683199595961,2.16542008255353,1,1982
"20",1982-01-20,1.3,-0.890111771024533,1.63691051112495,1,1982
"21",1982-01-21,2.2,-1.74011177102453,0.775367511124957,1,1982
"22",1982-01-22,1,-1.91868319959596,0.594371082553527,1,1982
"23",1982-01-23,1.1,-1.92582605673882,0.587131225410667,1,1982
"24",1982-01-24,3.5,-1.18296891388168,1.34007636826781,1,1982
"25",1982-01-25,1.3,-0.47534674792545,2.05730804323772,1,1982
"26",1982-01-26,-1.1,-0.189632462211164,2.34690232895201,1,1982
"27",1982-01-27,-4.3,-0.332489605068307,2.20210518609487,1,1982
"28",1982-01-28,2.6,-0.0467753193540215,2.49169947180915,1,1982
"29",1982-01-29,3.3,0.453224680645978,2.99848947180915,1,1982
"30",1982-01-30,6.3,0.831796109217407,3.38220190038058,1,1982
"31",1982-01-31,11,1.90322468064598,4.46818047180915,1,1982
"32",1982-02-01,9.9,2.81428571428571,5.39161371428571,2,1982
"33",1982-02-02,2.9,2.92857142857143,5.50745142857143,2,1982
"34",1982-02-03,7.1,3.34285714285714,5.92736314285714,2,1982
"35",1982-02-04,13.2,4.12857142857143,6.72374742857143,2,1982
"36",1982-02-05,7.3,4.57857142857143,7.17985842857143,2,1982
"37",1982-02-06,8,5.07142857142857,7.67940857142857,2,1982
"38",1982-02-07,1.9,4.95714285714286,7.56357085714286,2,1982
"39",1982-02-08,4.4,5.17857142857143,7.78800642857143,2,1982
"40",1982-02-09,9.1,5.90714285714286,8.52647185714286,2,1982
"41",1982-02-10,4.5,6.53571428571429,9.16357928571429,2,1982
