cale_date,sePmo,seNmo,segm
1983-01-15,157.5,1165,Segment 1
1983-01-15,75,970,Segment 2
1983-01-15,50,880,Segment 3
1983-01-15,100,1140,Segment 4
1983-02-15,145,835,Segment 1
1983-02-15,85,1075,Segment 2
1983-02-15,60,820,Segment 3
1983-02-15,140,970,Segment 4
1983-03-15,135,795,Segment 1
1983-03-15,90,920,Segment 2
1983-03-15,60,1010,Segment 3
1983-03-15,80,1030,Segment 4
1983-04-15,116.66666666666667,726.6666666666666,Segment 1
1983-04-15,75,795,Segment 2
1983-04-15,70,800,Segment 3
1983-04-15,80,1130,Segment 4
1983-05-15,77.5,662.5,Segment 1
1983-05-15,80,740,Segment 2
1983-05-15,NaN,NaN,Segment 3
1983-05-15,NaN,NaN,Segment 4
1983-06-15,117.5,872.5,Segment 1
1983-06-15,55,475,Segment 2
1983-06-15,40,440,Segment 3
1983-06-15,90,720,Segment 4
1983-07-15,173.75,781.875,Segment 1
1983-07-15,65,537.5,Segment 2
1983-07-15,40,410,Segment 3
1983-07-15,120,620,Segment 4
1983-08-15,157.5,997.5,Segment 1
1983-08-15,75,577.5,Segment 2
1983-08-15,60,405,Segment 3
1983-08-15,120,710,Segment 4
1983-09-15,192.5,1427.5,Segment 1
1983-09-15,60,555,Segment 2
1983-09-15,40,405,Segment 3
1983-09-15,60,430,Segment 4
1983-10-15,235,2000,Segment 1
1983-10-15,76.66666666666667,850,Segment 2
1983-10-15,60,710,Segment 3
1983-10-15,70,830,Segment 4
1983-11-15,305,2400,Segment 1
1983-11-15,80,1293.3333333333333,Segment 2
1983-11-15,60,860,Segment 3
1983-11-15,130,1320,Segment 4
1983-12-15,185,1112.5,Segment 1
1983-12-15,105,1325,Segment 2
1983-12-15,110,1140,Segment 3
1983-12-15,180,1030,Segment 4
1984-01-15,180,900,Segment 1
1984-01-15,165,955,Segment 2
1984-01-15,70,980,Segment 3
1984-01-15,90,1120,Segment 4
1984-03-15,162.5,891.25,Segment 1
1984-03-15,122.5,837.5,Segment 2
1984-03-15,95,875,Segment 3
1984-03-15,170,1040,Segment 4
1984-04-15,126.66666666666667,793.3333333333334,Segment 1
1984-04-15,115,715,Segment 2
1984-04-15,80,710,Segment 3
1984-04-15,150,780,Segment 4
1984-05-15,125,495,Segment 1
1984-05-15,105,740,Segment 2
1984-05-15,50,650,Segment 3
1984-05-15,170,1250,Segment 4
1984-06-15,140,580,Segment 1
1984-06-15,50,405,Segment 2
1984-06-15,60,410,Segment 3
1984-06-15,110,777.5,Segment 4
1984-07-15,127.5,707.5,Segment 1
1984-07-15,95,812.5,Segment 2
1984-07-15,120,405,Segment 3
1984-07-15,140,820,Segment 4
1984-08-15,176.66666666666666,710,Segment 1
1984-08-15,60,457.5,Segment 2
1984-08-15,50,505,Segment 3
1984-08-15,60,405,Segment 4
1984-09-15,132.5,692.5,Segment 1
1984-09-15,70,597.5,Segment 2
1984-09-15,50,610,Segment 3
1984-09-15,80,780,Segment 4
1984-10-15,97.5,895,Segment 1
1984-10-15,55,590,Segment 2
1984-10-15,30,480,Segment 3
1984-10-15,50,570,Segment 4
1984-11-15,77.5,1332.5,Segment 1
1984-11-15,80,915,Segment 2
1984-11-15,40,610,Segment 3
1984-11-15,110,1030,Segment 4
1984-12-15,155,1635,Segment 1
1984-12-15,125,935,Segment 2
1984-12-15,70,810,Segment 3
1984-12-15,230,1180,Segment 4
1985-02-15,140,1230,Segment 1
1985-02-15,80,950,Segment 2
1985-02-15,80,820,Segment 3
1985-02-15,130,1020,Segment 4
1985-03-15,172.5,1200,Segment 1
1985-03-15,60,810,Segment 3
1985-03-15,140,1240,Segment 4
1985-04-15,145,955,Segment 1
1985-04-15,60,680,Segment 3
1985-04-15,110,810,Segment 4
1985-05-15,185,852.5,Segment 1
1985-05-15,50,430,Segment 3
1985-05-15,150,850,Segment 4
1985-06-15,155,765,Segment 1
1985-06-15,100,705,Segment 2
1985-06-15,40,577.5,Segment 3
1985-06-15,193.33333333333334,780,Segment 4
1985-07-15,150,905,Segment 1
1985-07-15,70,505,Segment 2
1985-07-15,35,455,Segment 3
1985-07-15,100,607.5,Segment 4
1985-08-15,105,605,Segment 1
1985-08-15,40,605,Segment 3
1985-08-15,90,605,Segment 4
1985-09-15,100,655,Segment 1
1985-09-15,40,600,Segment 3
1985-09-15,50,640,Segment 4
1985-10-15,100,765,Segment 1
1985-10-15,50,650,Segment 3
1985-10-15,70,920,Segment 4
1985-11-15,110,895,Segment 1
1985-11-15,80,890,Segment 3
1985-11-15,100,970,Segment 4
1985-12-15,145,875,Segment 1
1985-12-15,60,990,Segment 3
1985-12-15,80,1110,Segment 4
1986-01-15,120,1090,Segment 1
1986-01-15,50,1010,Segment 3
1986-01-15,190,1500,Segment 4
1986-02-15,215,1565,Segment 1
1986-02-15,50,930,Segment 3
1986-02-15,270,1300,Segment 4
1986-03-15,175,975,Segment 1
1986-03-15,60,820,Segment 3
1986-03-15,130,960,Segment 4
1986-04-15,155,730,Segment 1
1986-04-15,50,490,Segment 3
1986-04-15,100,590,Segment 4
1986-05-15,130,820,Segment 1
1986-05-15,50,620,Segment 3
1986-05-15,180,910,Segment 4
1986-06-15,130,810,Segment 1
1986-06-15,30,505,Segment 3
1986-06-15,240,900,Segment 4
1986-07-15,245,1095,Segment 1
1986-07-15,195,1112.5,Segment 3
1986-07-15,100,505,Segment 4
1986-08-15,270,1075,Segment 1
1986-08-15,40,605,Segment 3
1986-08-15,100,610,Segment 4
1986-09-15,145,857.5,Segment 1
1986-09-15,35,915,Segment 3
1986-09-15,150,1105,Segment 4
1986-10-15,285,1800,Segment 1
1986-10-15,60,940,Segment 3
1986-10-15,110,1110,Segment 4
1986-11-15,675,4600,Segment 1
1986-11-15,30,1080,Segment 3
1986-11-15,190,1400,Segment 4
1986-12-15,445,3750,Segment 1
1986-12-15,120,1430,Segment 3
1986-12-15,350,1600,Segment 4
1987-01-15,250,2300,Segment 1
1987-01-15,190,1510,Segment 3
1987-01-15,220,1550,Segment 4
1987-02-15,235,1200,Segment 1
1987-02-15,NaN,NaN,Segment 2
1987-02-15,90,1150,Segment 3
1987-02-15,190,1180,Segment 4
1987-03-15,185,770,Segment 1
1987-03-15,110,740,Segment 3
1987-03-15,150,960,Segment 4
1987-04-15,150,645,Segment 1
1987-04-15,60,740,Segment 3
1987-04-15,170,930,Segment 4
1987-05-15,115,505,Segment 1
1987-05-15,40,520,Segment 3
1987-05-15,100,730,Segment 4
1987-06-15,120,605,Segment 1
1987-06-15,50,405,Segment 3
1987-06-15,200,605,Segment 4
1987-08-15,NaN,NaN,Segment 1
1987-08-15,30,405,Segment 3
1987-08-15,60,805,Segment 4
1987-09-15,50,805,Segment 3
1987-09-15,140,780,Segment 4
1987-10-15,NaN,NaN,Segment 1
1987-10-15,80,830,Segment 3
1987-10-15,100,980,Segment 4
1988-04-15,NaN,NaN,Segment 1
1988-04-15,80,890,Segment 3
1988-04-15,160,1050,Segment 4
1988-06-15,NaN,NaN,Segment 1
1988-06-15,NaN,NaN,Segment 3
1988-06-15,NaN,NaN,Segment 4
1988-08-15,NaN,NaN,Segment 1
1988-08-15,NaN,NaN,Segment 3
1988-08-15,70,610,Segment 4
1988-09-15,NaN,NaN,Segment 1
1988-09-15,50,610,Segment 3
1988-09-15,100,880,Segment 4
1988-10-15,70,630,Segment 3
1988-10-15,110,1100,Segment 4
1989-04-15,105,595,Segment 1
1989-04-15,60,670,Segment 3
1989-04-15,80,800,Segment 4
1989-06-15,140,607.5,Segment 1
1989-06-15,30,410,Segment 3
1989-06-15,140,910,Segment 4
1989-08-15,85,655,Segment 1
1989-08-15,40,410,Segment 3
1989-08-15,100,800,Segment 4
1989-09-15,100,705,Segment 1
1989-09-15,70,605,Segment 3
1989-09-15,60,505,Segment 4
1989-10-15,95,715,Segment 1
1989-10-15,80,580,Segment 3
1989-10-15,60,680,Segment 4
1990-04-15,125,645,Segment 1
1990-04-15,60,680,Segment 3
1990-04-15,100,910,Segment 4
1990-06-15,120,505,Segment 1
1990-06-15,40,630,Segment 3
1990-06-15,60,790,Segment 4
1990-08-15,130,705,Segment 1
1990-08-15,30,405,Segment 3
1990-08-15,60,505,Segment 4
1990-09-15,175,972.5,Segment 1
1990-09-15,30,505,Segment 3
1990-09-15,50,605,Segment 4
1990-10-15,95,757.5,Segment 1
1990-10-15,90,1110,Segment 3
1990-10-15,130,1080,Segment 4
1991-04-15,95,710,Segment 1
1991-04-15,40,610,Segment 3
1991-04-15,60,850,Segment 4
1991-08-15,105,705,Segment 1
1991-08-15,20,405,Segment 3
1991-08-15,30,505,Segment 4
1992-08-15,70,755,Segment 1
1992-08-15,20,530,Segment 3
1992-08-15,50,640,Segment 4
1993-06-15,NaN,NaN,Segment 4
1993-08-15,NaN,NaN,Segment 4
1993-09-15,125,660,Segment 1
1993-09-15,30,370,Segment 3
1993-09-15,40,590,Segment 4
1994-08-15,50,655,Segment 1
1994-08-15,20,605,Segment 3
1994-08-15,40,605,Segment 4
1996-05-15,65,690,Segment 1
1996-05-15,20,660,Segment 3
1996-05-15,40,580,Segment 4
1996-06-15,95,600,Segment 1
1996-06-15,20,430,Segment 3
1996-06-15,40,670,Segment 4
1996-07-15,85,555,Segment 1
1996-07-15,20,405,Segment 3
1996-07-15,40,305,Segment 4
1996-08-15,85,405,Segment 1
1996-08-15,30,605,Segment 3
1996-08-15,40,705,Segment 4
1996-09-15,170,605,Segment 1
1996-09-15,60,500,Segment 3
1996-09-15,60,550,Segment 4
2000-05-15,85,680,Segment 1
2000-05-15,30,505,Segment 2
2000-05-15,23.333333333333332,271.6666666666667,Segment 3
2000-05-15,40,310,Segment 4
2000-06-15,83.75,569.5833333333334,Segment 1
2000-06-15,48.33333333333333,530,Segment 2
2000-06-15,24.166666666666664,514.1666666666667,Segment 3
2000-06-15,75,792.5,Segment 4
2000-07-15,81.66666666666667,541.3541666666667,Segment 1
2000-07-15,26.666666666666668,342.5,Segment 2
2000-07-15,20,405,Segment 3
2000-07-15,62.5,455,Segment 4
2000-08-15,95.83333333333333,631.25,Segment 1
2000-08-15,34.166666666666664,504.99999999999994,Segment 2
2000-08-15,20.833333333333336,456.25,Segment 3
2000-08-15,32.5,486.25,Segment 4
2000-09-15,44.16666666666667,480,Segment 1
2000-09-15,18.75,505.625,Segment 2
2000-09-15,20.833333333333332,501.6666666666667,Segment 3
2000-09-15,55,725,Segment 4
2000-10-15,82.08333333333334,535.4166666666667,Segment 1
2000-10-15,49.16666666666667,335.83333333333337,Segment 2
2000-10-15,38.333333333333336,532.5,Segment 3
2000-10-15,50,505,Segment 4
2000-11-15,108.75,576.25,Segment 1
2000-11-15,70,551.6666666666667,Segment 2
2000-11-15,48.333333333333336,591.6666666666666,Segment 3
2000-11-15,50,780,Segment 4
2000-12-15,72.5,1262.5,Segment 1
2000-12-15,61.66666666666667,1004.1666666666666,Segment 2
2000-12-15,53.333333333333336,643.0555555555555,Segment 3
2000-12-15,85,1020,Segment 4
2001-01-15,97.5,1410,Segment 1
2001-01-15,68.33333333333333,991.6666666666666,Segment 2
2001-01-15,51.666666666666664,893.3333333333334,Segment 3
2001-01-15,100,1400,Segment 4
2001-02-15,NaN,NaN,Segment 1
2001-02-15,NaN,NaN,Segment 2
2001-02-15,NaN,NaN,Segment 3
2001-02-15,NaN,NaN,Segment 4
2001-04-15,127.08333333333334,393.75,Segment 1
2001-04-15,50,486.6666666666667,Segment 2
2001-04-15,50,608.3333333333334,Segment 3
2001-04-15,50,560,Segment 4
2001-05-15,83.95833333333334,450.41666666666663,Segment 1
2001-05-15,50,656.6666666666666,Segment 2
2001-05-15,50,507.5,Segment 3
2001-05-15,50,463.75,Segment 4
2001-06-15,98.95833333333333,930.8333333333334,Segment 1
2001-06-15,31.25,706.6666666666666,Segment 2
2001-06-15,25.833333333333332,611.6666666666667,Segment 3
2001-06-15,57.5,770,Segment 4
2001-07-15,116.25,847.7083333333335,Segment 1
2001-07-15,36.25,605,Segment 2
2001-07-15,23.333333333333336,679.1666666666666,Segment 3
2001-07-15,47.5,680,Segment 4
2001-08-15,101.25,1212.0833333333333,Segment 1
2001-08-15,38.75,728.75,Segment 2
2001-08-15,20.833333333333336,520,Segment 3
2001-08-15,52.5,750,Segment 4
2001-09-15,125.83333333333334,935.625,Segment 1
2001-09-15,49.16666666666667,692.0833333333333,Segment 2
2001-09-15,32.5,613.3333333333333,Segment 3
2001-09-15,47.5,840,Segment 4
2001-10-15,55.83333333333333,1032.9166666666667,Segment 1
2001-10-15,34.16666666666667,737.5,Segment 2
2001-10-15,30,739.1666666666666,Segment 3
2001-10-15,50,955,Segment 4
2001-11-15,87.5,1105.625,Segment 1
2001-11-15,60,783.3333333333334,Segment 2
2001-11-15,45,758.3333333333334,Segment 3
2001-11-15,55,815,Segment 4
2003-06-15,110,910,Segment 1
2003-06-15,50,830,Segment 2
2003-06-15,50,710,Segment 3
2003-06-15,50,700,Segment 4
2003-07-15,95,860,Segment 1
2003-07-15,40,615,Segment 2
2003-07-15,40,675,Segment 3
2003-07-15,60,810,Segment 4
2003-08-15,100,1105,Segment 1
2003-08-15,50,585,Segment 2
2003-08-15,40,585,Segment 3
2003-08-15,70,850,Segment 4
2005-01-15,95,1390,Segment 1
2005-01-15,50,1100.00002,Segment 2
2005-01-15,50,1060.00003,Segment 3
2005-01-15,70,1169.99996,Segment 4
2005-02-15,125,1635.00002,Segment 1
2005-02-15,80,1310,Segment 2
2005-02-15,60,NaN,Segment 3
2005-02-15,80,1379.9999900000003,Segment 4
2005-03-15,130,1490.00001,Segment 1
2005-03-15,80,1360.00001,Segment 2
2005-03-15,60,1099.99996,Segment 3
2005-03-15,80,1229.99999,Segment 4
2005-04-15,100,1200.000035,Segment 1
2005-04-15,60,1030,Segment 2
2005-04-15,60,920.00001,Segment 3
2005-04-15,80,1019.99996,Segment 4
2005-05-15,110,1067.50002,Segment 1
2005-05-15,40,810.0000100000001,Segment 2
2005-05-15,60,969.9999799999999,Segment 3
2005-05-15,100,1129.99999,Segment 4
2005-06-15,110,1217.499985,Segment 1
2005-06-15,40,685.00001,Segment 2
2005-06-15,30,704.99999,Segment 3
2005-06-15,50,805.00001,Segment 4
2005-07-15,105,1155.000035,Segment 1
2005-07-15,50,695,Segment 2
2005-07-15,40,635,Segment 3
2005-07-15,70,1139.99999,Segment 4
2005-08-15,105,1155.000035,Segment 1
2005-08-15,40,665.0000299999999,Segment 2
2005-08-15,40,514.99999,Segment 3
2005-08-15,40,685.00001,Segment 4
2005-10-15,160.000005,1322.5,Segment 1
2005-10-15,60,784.99997,Segment 2
2005-10-15,50,605.00002,Segment 3
2005-10-15,60,1039.99997,Segment 4
2005-11-15,140,1122.500015,Segment 1
2005-11-15,60,850,Segment 2
2005-11-15,40,840.00001,Segment 3
2005-11-15,60,1220.0000300000002,Segment 4
2005-12-15,90,1004.99997,Segment 1
2005-12-15,50,879.9999799999999,Segment 2
2005-12-15,70,1389.99999,Segment 3
2005-12-15,130,1380.0000599999998,Segment 4
2006-01-15,85,1145.000025,Segment 1
2006-01-15,60,1039.9999899999998,Segment 2
2006-01-15,70,1210.00004,Segment 3
2006-01-15,70,1560,Segment 4
2006-02-15,80,1154.9999899999998,Segment 1
2006-02-15,40,960.00001,Segment 2
2006-02-15,40,980.0000100000001,Segment 3
2006-02-15,40,1190,Segment 4
2006-03-15,105,1155.000035,Segment 1
2006-03-15,60,930.0000100000001,Segment 2
2006-03-15,50,870.00001,Segment 3
2006-03-15,50,1139.9999899999998,Segment 4
2006-04-15,135.000005,1155.000035,Segment 1
2006-04-15,40,615.0000100000001,Segment 2
2006-04-15,40,530,Segment 3
2006-04-15,70,929.9999799999998,Segment 4
2006-05-15,65,1045.0000249999998,Segment 1
2006-05-15,50,809.9999899999999,Segment 2
2006-05-15,40,760.00001,Segment 3
2006-05-15,60,1100.00002,Segment 4
2006-06-15,115,854.999995,Segment 1
2006-06-15,50,584.9999799999999,Segment 2
2006-06-15,40,505,Segment 3
2006-06-15,80,859.99999,Segment 4
2006-07-15,115,1055.00001,Segment 1
2006-07-15,70,844.9999700000001,Segment 2
2006-07-15,40,565,Segment 3
2006-07-15,60,704.99999,Segment 4
